number,value,params_batch_size,params_dropout,params_hidden_size,params_layers,params_learning_rate,state
0,0.649028,32,0.2,48,3,8.7e-05,COMPLETE
1,0.649099,32,0.0,128,4,1e-05,COMPLETE
2,0.692818,64,0.3,48,3,3.1e-05,COMPLETE
3,0.606633,64,0.1,96,4,4.4e-05,COMPLETE
4,0.617898,128,0.0,96,4,5e-05,COMPLETE
5,0.512358,64,0.3,128,2,0.000438,COMPLETE
6,0.645343,32,0.1,32,2,1.1e-05,COMPLETE
7,0.602424,64,0.0,80,3,0.000666,COMPLETE
8,0.74416,32,0.0,112,3,3.8e-05,COMPLETE
9,0.65173,64,0.3,48,3,1.4e-05,COMPLETE
10,0.487827,128,0.2,128,2,0.000442,COMPLETE
11,0.521731,128,0.2,128,2,0.000485,COMPLETE
12,0.478897,128,0.3,128,2,0.000308,COMPLETE
13,0.510761,128,0.2,112,2,0.000221,COMPLETE
14,0.528425,128,0.3,80,2,0.000209,COMPLETE
15,0.489609,128,0.2,112,2,0.00022,COMPLETE
16,0.544478,128,0.1,96,2,0.000906,COMPLETE
17,0.500285,128,0.3,128,2,0.000351,COMPLETE
18,0.46236,128,0.2,64,2,0.000126,COMPLETE
19,0.515214,128,0.3,64,3,0.000113,COMPLETE
20,0.620993,32,0.2,48,4,2.6e-05,COMPLETE
21,0.551878,32,0.3,128,2,4e-05,COMPLETE
22,0.608771,128,0.1,112,3,1e-05,COMPLETE
23,0.534394,64,0.0,128,2,0.000117,COMPLETE
24,0.575205,128,0.3,32,2,0.000108,COMPLETE
