Wall time,Step,Value
1658812263.0280292,7485,4.1290441004093736e-05
1658814688.4854503,14971,3.455461410339922e-05
1658817099.7407596,22457,3.257534990552813e-05
1658819511.1775134,29943,3.097021544817835e-05
1658821920.0790975,37429,2.965051680803299e-05
1658824334.8586695,44915,2.865960414055735e-05
1658826749.1259894,52401,2.7528172722668387e-05
1658829160.737722,59887,2.705877886910457e-05
1658831573.5804875,67373,2.6334650101489387e-05
1658833988.321963,74859,2.5937111786333844e-05
1658836397.8681934,82345,2.5521678253426217e-05
1658838809.746357,89831,2.4740567823755555e-05
1658841223.747294,97317,2.495244552846998e-05
1658843634.27123,104803,2.4332821340067312e-05
1658846044.854364,112289,2.4024073354667053e-05
1658848456.9512854,119775,2.359527388762217e-05
1658850896.6335034,127261,2.3617698388989083e-05
1658853310.155759,134747,2.2811995222582482e-05
1658855724.418348,142233,2.2361364244716242e-05
1658858150.8801274,149719,2.2088572222855873e-05
1658860561.256347,157205,2.1927407942712307e-05
1658862973.5175993,164691,2.1996795112499967e-05
1658865533.7423892,172177,2.171577034459915e-05
1658868199.2265005,179663,2.1619303879560903e-05
1658870866.7622662,187149,2.101267091347836e-05
1658873562.6520922,194635,2.112926813424565e-05
1658876235.6281245,202121,2.0754234355990775e-05
1658878952.7089448,209607,2.009041782002896e-05
1658881588.025016,217093,1.98689285753062e-05
1658884212.4151604,224579,2.0163663066341542e-05
1658886829.8144555,232065,1.9630546375992708e-05
1658889442.3172731,239551,2.0110359400860034e-05
1658892064.988783,247037,1.9356459233677015e-05
1658894688.3825576,254523,1.89676557056373e-05
1658897310.3109396,262009,1.8900944269262254e-05
1658899921.923935,269495,1.8743014152278192e-05
1658902547.9357657,276981,1.8835018636309542e-05
1658905172.80746,284467,1.8564747733762488e-05
1658907803.9399793,291953,1.8369275494478643e-05
1658910429.754802,299439,1.8038088455796242e-05
1658913048.7522101,306925,1.7969241525861435e-05
1658915677.4187925,314411,1.7681586541584693e-05
1658918302.9237475,321897,1.7352987924823537e-05
1658920921.7163634,329383,1.777675970515702e-05
1658923547.4318457,336869,1.7232392565347254e-05
1658926160.216808,344355,1.7426093108952045e-05
1658928770.1474175,351841,1.6789030269137584e-05
1658931397.8375382,359327,1.6723934095352888e-05
1658934021.783926,366813,1.668695949774701e-05
1658936643.2224216,374299,1.695522223599255e-05
1658939316.689375,381785,1.6387184587074444e-05
1658941963.5862143,389271,1.6678033716743812e-05
1658944604.8937302,396757,1.6685238733771257e-05
1658947254.9527764,404243,1.639142465137411e-05
1658949884.2981238,411729,1.628587779123336e-05
1658952511.8380213,419215,1.633262036193628e-05
1658955142.2282593,426701,1.6074260202003643e-05
1658957767.8976688,434187,1.6419995517935604e-05
1658960386.4039688,441673,1.6294543456751853e-05
1658962996.3241622,449159,1.588418126630131e-05
